file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.8_15.fseries,8_15\knot.8_15.fseries,.fseries,8_15,0.022198823919242678,12.80438836064801,12.80438836064801,-13.584191937204999,65,-1.0,-62.0,-7.815373346568862e-36,-6.530464012962791e-06
knot.8_15d.fseries,8_15\knot.8_15d.fseries,.fseries,8_15d,0.0875917915663451,45.34391238936938,45.34391238936938,1.327575640449539,68,1.0,65.0,2.901559950085091e-35,2.424520492524348e-05
knot.8_15p.fseries,8_15\knot.8_15p.fseries,.fseries,8_15p,0.01746456973225087,13.15033972780979,13.15033972780979,1.5634987098154218,65,1.0,62.0,8.026530570012246e-36,6.706905314948647e-06
knot.8_16.fseries,8_16\knot.8_16.fseries,.fseries,8_16,0.025797784058824755,12.649413451581225,12.649413451581225,-28.406706292856438,60,-1.0,-57.0,-7.098138115368779e-36,-5.931147939567841e-06
knot.8_17.fseries,8_17\knot.8_17.fseries,.fseries,8_17,0.022852989021970877,13.869223627448433,13.869223627448433,-11.724871943044676,75,-1.0,-72.0,-9.830686556908725e-36,-8.214443755370228e-06
knot.8_18.fseries,8_18\knot.8_18.fseries,.fseries,8_18,0.024258595213254262,12.601439842680726,12.601439842680726,0.041138152309733445,105,1.0,102.0,1.2653758578318398e-35,1.0573380356896992e-05
knot.8_18z.fseries,8_18\knot.8_18z.fseries,.fseries,8_18z,0.019380410775538606,10.251053297804724,10.251053297804724,5.083575928813015,5,1.0,2.0,2.0183556243320007e-37,1.6865219594208978e-07
knot.8_19t.fseries,8_19\knot.8_19t.fseries,.fseries,8_19t,0.0702905900504669,41.76964098118444,41.76964098118444,-6.817048847933841,43,-1.0,-40.0,-1.6448258993786772e-35,-1.3744034823617703e-05
knot.8_19u.fseries,8_19\knot.8_19u.fseries,.fseries,8_19u,0.05876677881835582,37.59592965184389,37.59592965184389,-0.14383028826686908,38,-1.0,-35.0,-1.2954124737778826e-35,-1.08243639386256e-05
knot.8_1.fseries,8_1\knot.8_1.fseries,.fseries,8_1,0.02101550348914683,12.355142587395889,12.355142587395889,-16.48257663201647,60,-1.0,-57.0,-6.933009886671713e-36,-5.793168100702702e-06
knot.8_1d.fseries,8_1\knot.8_1d.fseries,.fseries,8_1d,0.012747839127026529,11.532333372382007,11.532333372382007,9.320544363587649,32,1.0,29.0,3.29241360951319e-36,2.751114711897195e-06
knot.8_20r.fseries,8_20\knot.8_20r.fseries,.fseries,8_20r,0.020294192593817695,11.87269745665333,11.87269745665333,-3.134838127947777,60,-1.0,-57.0,-6.662288862000822e-36,-5.566955758595996e-06
knot.8_21d.fseries,8_21\knot.8_21d.fseries,.fseries,8_21d,0.06707459125723163,28.778869162909405,28.778869162909405,-2.4045342283370443,17,-1.0,-14.0,-3.966440669518177e-36,-3.3143263799690902e-06
knot.8_21p.fseries,8_21\knot.8_21p.fseries,.fseries,8_21p,0.016022678322040563,12.321262490704306,12.321262490704306,5.614497086651648,70,1.0,67.0,8.12698044065747e-36,6.790840430555553e-06
knot.8_21r.fseries,8_21\knot.8_21r.fseries,.fseries,8_21r,0.02645815059225784,13.271319306383205,13.271319306383205,-4.535741289615032,62,-1.0,-59.0,-7.708418978929524e-36,-6.441093791231216e-06
knot.8_2.fseries,8_2\knot.8_2.fseries,.fseries,8_2,0.014789015397877808,12.37993440137625,12.37993440137625,-18.521524632735158,59,-1.0,-56.0,-6.825045837294007e-36,-5.702954196914678e-06
knot.8_2d.fseries,8_2\knot.8_2d.fseries,.fseries,8_2d,0.043473717568505044,25.35761511368812,25.35761511368812,24.18377276212747,350,1.0,347.0,8.662377030112449e-35,7.238213576412207e-05
