file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.7_7d.short,7_7\knot.7_7d.short,.short,7_7d,0.027897286536998578,41.83753648473565,41.83753648473565,-0.925057526000051,9,-1.0,-6.0,-2.4712492839222214e-36,-2.0649563111145906e-06
knot.8_10s.short,8_10\knot.8_10s.short,.short,8_10s,0.03402414964351764,51.02120991061271,51.02120991061271,-2.3745168734900752,9,-1.0,-6.0,-3.013708240265277e-36,-2.5182307147568588e-06
knot.8_11.short,8_11\knot.8_11.short,.short,8_11,0.03467235862533109,51.98776154036562,51.98776154036562,2.9564674772774455,8,1.0,5.0,2.559000227905816e-36,2.1382803042722517e-06
knot.8_11d.short,8_11\knot.8_11d.short,.short,8_11d,0.048205806963238805,72.28994398969155,72.28994398969155,4.402006110213365,16,1.0,13.0,9.251676585523704e-36,7.73062761331266e-06
knot.8_12d.short,8_12\knot.8_12d.short,.short,8_12d,0.05880855564828432,88.18580423792952,88.18580423792952,-0.3638276806322291,8,-1.0,-5.0,-4.340781108024838e-36,-3.6271222828465524e-06
knot.8_12z.short,8_12\knot.8_12z.short,.short,8_12z,0.0343820126230462,51.56164133460075,51.56164133460075,-0.014993190329899488,14,-1.0,-11.0,-5.583655568874284e-36,-4.6656583295948755e-06
knot.8_13d.short,8_13\knot.8_13d.short,.short,8_13d,0.04512602953670059,67.67150372355272,67.67150372355272,-0.3941170415852673,10,-1.0,-7.0,-4.6634043022525556e-36,-3.89670366638675e-06
knot.8_13p.short,8_13\knot.8_13p.short,.short,8_13p,0.03241951492169024,48.616258119121795,48.616258119121795,-1.1788833074282978,9,-1.0,-6.0,-2.87165314113778e-36,-2.3995306000505976e-06
knot.8_14d.short,8_14\knot.8_14d.short,.short,8_14d,0.045130012069257944,67.67849569838322,67.67849569838322,3.7395323395820554,11,1.0,8.0,5.3301555838525904e-36,4.453835751701322e-06
knot.8_14r.short,8_14\knot.8_14r.short,.short,8_14r,0.032380818972955555,48.55805979579989,48.55805979579989,3.5267387225283513,9,1.0,6.0,2.8682154969331028e-36,2.3966581318046793e-06
